date,action,tqqq_price,qqq_price,shares,commission,slippage,abs_score,ref_score,final_score,gross_pnl,net_pnl,qqq_change_from_entry,qqq_change_from_high,tqqq_change,holding_days,highest_qqq,stop_reason
2019-03-15 00:00:00-04:00,BUY,6.599987030029297,170.47447204589844,14393,94.99361332321168,94.99361332321168,74.0,57.0,67.2,,,,,,,,
2019-04-17 00:00:00-04:00,SELL_PROFIT,7.609625816345215,179.21142578125,14393,109.52534437465668,109.52534437465668,74.0,51.0,64.8,14531.731051445007,14312.680362695693,0.051250803891618624,0.0,0.1529758743043221,2.0,179.21142578125,TQQQ盈利15.3% (止盈15%)
2019-04-18 00:00:00-04:00,BUY,7.633495807647705,179.44126892089844,14226,108.59411135959625,108.59411135959625,74.0,51.0,64.8,,,,,,,,
2019-05-09 00:00:00-04:00,SELL_TRAILING_STOP,7.276645660400391,176.9324493408203,14226,103.51756116485596,103.51756116485596,62.0,57.0,60.0,-5076.550194740295,-5283.5853170700075,-0.013981285326198103,-0.03317431419086383,-0.04674793256450079,7.0,183.0034637451172,從高位回落3.3%
2019-06-17 00:00:00-04:00,BUY,7.003337860107422,175.9460906982422,14789,103.57236361312866,103.57236361312866,74.0,57.0,67.2,,,,,,,,
2019-07-10 00:00:00-04:00,SELL_PROFIT,8.060760498046875,184.79965209960938,14789,119.21058700561524,119.21058700561524,78.0,57.0,69.6,15638.223392486572,15399.802218475343,0.05031973922371235,0.0,0.15098837997846268,2.0,184.79965209960938,TQQQ盈利15.1% (止盈15%)
2019-07-11 00:00:00-04:00,BUY,8.039276123046875,184.66531372070312,14703,118.20147683715821,118.20147683715821,78.0,57.0,69.6,,,,,,,,
2019-07-31 00:00:00-04:00,SELL_REEVALUATE,7.829227447509766,183.3984832763672,14703,115.11313116073609,115.11313116073609,62.0,57.0,60.0,-3088.345676422119,-3318.571938743591,-0.0068601429191621445,-0.021455163350886704,-0.02612780955923942,7.0,187.4196014404297,7天重估熊市
2019-09-05 00:00:00-04:00,BUY,7.707489967346191,184.05108642578125,14927,115.0497027425766,115.0497027425766,74.0,57.0,67.2,,,,,,,,
2019-09-27 00:00:00-04:00,SELL_TRAILING_STOP,7.16445779800415,179.85447692871094,14927,106.94386155080795,106.94386155080795,34.0,57.0,43.2,-8105.841191768646,-8319.728914870262,-0.022801329666492346,-0.030134277723425248,-0.07045512503326883,2.0,185.44265747070312,從高位回落3.0%
2019-09-30 00:00:00-04:00,BUY,7.355414390563965,181.56622314453125,14567,107.14632142734528,107.14632142734528,66.0,57.0,62.400000000000006,,,,,,,,
2019-10-09 00:00:00-04:00,SELL_REEVALUATE,7.141781330108643,180.04681396484375,14567,104.0343286356926,104.0343286356926,26.0,57.0,38.4,-3111.9927916526794,-3320.0614489240647,-0.008368347115300252,-0.008368347115300252,-0.02904432695585249,7.0,181.56622314453125,7天重估熊市
2019-10-14 00:00:00-04:00,BUY,7.579789161682129,183.75872802734375,13720,103.99470729827881,103.99470729827881,70.0,57.0,64.8,,,,,,,,
2019-11-08 00:00:00-05:00,SELL_PROFIT,8.791171073913574,193.5096893310547,13720,120.61486713409424,120.61486713409424,78.0,51.0,67.2,16620.15983581543,16378.930101547241,0.05306393556587946,0.0,0.15981736251389503,5.0,193.5096893310547,TQQQ盈利16.0% (止盈15%)
2019-11-11 00:00:00-05:00,BUY,8.754173278808594,193.2500762939453,13657,119.55574446868897,119.55574446868897,74.0,51.0,64.8,,,,,,,,
2019-12-20 00:00:00-05:00,SELL_PROFIT,10.1600923538208,203.58763122558594,13657,138.75638127613067,138.75638127613067,74.0,51.0,64.8,19200.63680744171,18923.12404488945,0.05349314799708832,0.0,0.16059986822691116,7.0,203.58763122558594,TQQQ盈利16.1% (止盈15%)
2019-12-23 00:00:00-05:00,BUY,10.235281944274902,204.12538146972656,13437,137.53148348522186,137.53148348522186,74.0,51.0,64.8,,,,,,,,
2020-01-17 00:00:00-05:00,SELL_PROFIT,11.927172660827637,215.27561950683594,13437,160.26541904354096,160.26541904354096,78.0,51.0,67.2,22733.93555831909,22413.40472023201,0.05462445658068762,0.0,0.16529986430897414,3.0,215.27561950683594,TQQQ盈利16.5% (止盈15%)
2020-01-21 00:00:00-05:00,BUY,11.92120361328125,215.17922973632812,13323,158.82619573974608,158.82619573974608,78.0,51.0,67.2,,,,,,,,
