date,action,tqqq_price,qqq_price,shares,commission,slippage,abs_score,ref_score,final_score,gross_pnl,net_pnl,qqq_change_from_entry,qqq_change_from_high,tqqq_change,holding_days,highest_qqq,stop_reason
2019-03-15 00:00:00-04:00,BUY,6.599987506866455,170.47445678710938,14393,94.99362018632888,94.99362018632888,74.0,57.0,67.2,,,,,,,,
2019-03-22 00:00:00-04:00,SELL_TRAILING_STOP,6.653648853302002,170.9857940673828,14393,95.76596794557571,95.76596794557571,74.0,57.0,67.2,772.3477592468262,580.8158233556748,0.0029994949971420166,-0.021964360260754226,0.00813052242594687,5.0,174.8257293701172,從高位回落2.2%
2019-03-25 00:00:00-04:00,BUY,6.611876964569092,170.66024780273438,14451,95.54823401498794,95.54823401498794,74.0,57.0,67.2,,,,,,,,
2019-04-05 00:00:00-04:00,SELL_PROFIT,7.326771259307861,176.82704162597656,14451,105.87917146825791,105.87917146825791,78.0,57.0,69.6,10330.937453269958,10119.179110333444,0.036134916611455785,0.0,0.10812274616869863,2.0,176.82704162597656,TQQQ盈利10.8%
2019-04-08 00:00:00-04:00,BUY,7.384058952331543,177.27713012695312,14242,105.16376759910584,105.16376759910584,78.0,57.0,69.6,,,,,,,,
2019-05-07 00:00:00-04:00,SELL_TRAILING_STOP,7.459247589111328,178.34005737304688,14242,106.23460416412354,106.23460416412354,66.0,57.0,62.400000000000006,1070.8365650177002,858.3673566894531,0.005995850933126896,-0.025482775115508078,0.01018256182205101,6.0,183.0034942626953,從高位回落2.5%
2019-05-08 00:00:00-04:00,BUY,7.393607139587402,177.8899688720703,14334,105.97996473884582,105.97996473884582,66.0,57.0,62.400000000000006,,,,,,,,
2019-05-13 00:00:00-04:00,SELL_QQQ_STOP,6.542654991149902,171.00497436523438,14334,93.7824166431427,93.7824166431427,34.0,63.0,45.6,-12197.548095703125,-12385.11292898941,-0.03870366918658177,-0.03870366918658177,-0.1150929623892604,3.0,177.8899688720703,QQQ從入場跌3.9%
2019-06-17 00:00:00-04:00,BUY,7.003337860107422,175.94610595703125,13452,94.20890089416504,94.20890089416504,74.0,57.0,67.2,,,,,,,,
2019-07-02 00:00:00-04:00,SELL_PROFIT,7.7588114738464355,182.35243225097656,13452,104.37153194618226,104.37153194618226,78.0,51.0,67.2,10162.631052017212,9953.887988124847,0.03641073076951096,0.0,0.10787336393441194,4.0,182.35243225097656,TQQQ盈利10.8%
2019-07-03 00:00:00-04:00,BUY,7.9306721687316895,183.72476196289062,13072,103.66974658966065,103.66974658966065,78.0,51.0,67.2,,,,,,,,
2019-07-31 00:00:00-04:00,SELL_TRAILING_STOP,7.829226016998291,183.39846801757812,13072,102.34364249420166,102.34364249420166,62.0,57.0,60.0,-1326.1040954589844,-1530.7913804473876,-0.001775993294678515,-0.021455244766005216,-0.012791620883456867,5.0,187.4196014404297,從高位回落2.1%
2019-09-05 00:00:00-04:00,BUY,7.707492351531982,184.0510711669922,13261,102.20905607366562,102.20905607366562,74.0,57.0,67.2,,,,,,,,
2019-09-24 00:00:00-04:00,SELL_TRAILING_STOP,7.276645183563232,180.75839233398438,13261,96.49559177923203,96.49559177923203,38.0,57.0,45.6,-5713.464294433594,-5906.455477992058,-0.017890028089107494,-0.02525983140693592,-0.05589978534109249,6.0,185.44264221191406,從高位回落2.5%
2019-09-25 00:00:00-04:00,BUY,7.509373664855957,182.78750610351562,12864,96.60058282470703,96.60058282470703,74.0,57.0,67.2,,,,,,,,
2019-10-02 00:00:00-04:00,SELL_QQQ_STOP,6.809994220733643,176.98883056640625,12864,87.60376565551758,87.60376565551758,26.0,63.0,40.800000000000004,-8996.817169189453,-9172.024700500488,-0.031723588010580374,-0.031723588010580374,-0.0931341913900791,5.0,182.78750610351562,QQQ從入場跌3.2%
2019-10-14 00:00:00-04:00,BUY,7.579789161682129,183.7587432861328,11595,87.88765532970429,87.88765532970429,70.0,57.0,64.8,,,,,,,,
2019-10-28 00:00:00-04:00,SELL_PROFIT,8.341228485107422,189.99009704589844,11595,96.71654428482056,96.71654428482056,78.0,51.0,67.2,8828.888955116272,8635.45586654663,0.033910515757406515,0.0,0.10045653080623579,3.0,189.99009704589844,TQQQ盈利10.0%
2019-10-29 00:00:00-04:00,BUY,8.149080276489258,188.518798828125,11792,96.09395462036133,96.09395462036133,78.0,51.0,67.2,,,,,,,,
2019-11-15 00:00:00-05:00,SELL_PROFIT,8.976160049438477,195.125244140625,11792,105.84687930297852,105.84687930297852,74.0,51.0,64.8,9752.924682617188,9541.23092401123,0.03504396035603421,0.0,0.10149363423691007,6.0,195.125244140625,TQQQ盈利10.1%
2019-11-18 00:00:00-05:00,BUY,9.02270793914795,195.2790985107422,11655,105.15966103076936,105.15966103076936,78.0,51.0,67.2,,,,,,,,
2019-12-03 00:00:00-05:00,SELL_TRAILING_STOP,8.778043746948242,193.6827850341797,11655,102.30809987068176,102.30809987068176,66.0,57.0,62.400000000000006,-2851.5611600875854,-3056.177359828949,-0.008174522971154988,-0.02247126373047514,-0.027116492504223922,3.0,198.1351318359375,從高位回落2.2%
2019-12-04 00:00:00-05:00,BUY,8.908133506774902,194.66363525390625,11478,102.24755639076233,102.24755639076233,66.0,57.0,62.400000000000006,,,,,,,,
2019-12-16 00:00:00-05:00,SELL_PROFIT,9.804436683654785,201.24122619628906,11478,112.53532425498963,112.53532425498963,74.0,57.0,67.2,10287.767864227295,10062.697215717315,0.03378952074846153,0.0,0.1006162712085778,1.0,201.24122619628906,TQQQ盈利10.1%
2019-12-17 00:00:00-05:00,BUY,9.817564964294434,201.3566436767578,11389,111.81224737834931,111.81224737834931,74.0,57.0,67.2,,,,,,,,
2020-01-02 00:00:00-05:00,SELL_PROFIT,10.845489501953125,208.3175811767578,11389,123.51927993774414,123.51927993774414,78.0,51.0,67.2,11707.032559394836,11459.993999519349,0.034570190349291596,0.0,0.10470259594890963,3.0,208.3175811767578,TQQQ盈利10.5%
2020-01-03 00:00:00-05:00,BUY,10.550594329833984,206.40939331054688,11629,122.69286146163941,122.69286146163941,78.0,51.0,67.2,,,,,,,,
2020-01-16 00:00:00-05:00,SELL_PROFIT,11.751667976379395,214.2154998779297,11629,136.66014689731597,136.66014689731597,78.0,51.0,67.2,13967.285435676575,13693.965141881943,0.03781856262538583,0.0,0.11383943017779827,2.0,214.2154998779297,TQQQ盈利11.4%
2020-01-17 00:00:00-05:00,BUY,11.927173614501953,215.275634765625,11378,135.70738138580322,135.70738138580322,78.0,51.0,67.2,,,,,,,,
