date,action,tqqq_price,qqq_price,shares,abs_score,ref_score,final_score,pnl,qqq_change_pct,tqqq_change_pct,holding_days
2019-03-15 00:00:00-04:00,BUY,6.599987030029297,170.47447204589844,14393,74.0,59.166666666666664,68.06666666666666,,,,
2019-04-05 00:00:00-04:00,SELL_PROFIT,7.326771259307861,176.8271026611328,14393,78.0,59.166666666666664,70.46666666666667,10460.605412006378,0.03726440996704772,0.11011903901807188,1.0
2019-04-08 00:00:00-04:00,BUY,7.384059429168701,177.2771759033203,14211,78.0,59.166666666666664,70.46666666666667,,,,
2019-05-13 00:00:00-04:00,SELL_QQQ_STOP,6.542654991149902,171.0049591064453,14211,34.0,64.16666666666667,46.06666666666667,-11957.19846868515,-0.03538084790055325,-0.11394876301984534,3.0
2019-06-17 00:00:00-04:00,BUY,7.003337860107422,175.9460906982422,13361,74.0,59.166666666666664,68.06666666666666,,,,
2019-07-02 00:00:00-04:00,SELL_PROFIT,7.758811950683594,182.3524169921875,13361,78.0,54.166666666666664,68.46666666666667,10093.889324188232,0.03641073392720351,0.1078734320215395,4.0
2019-07-03 00:00:00-04:00,BUY,7.930672645568848,183.72479248046875,13008,78.0,54.166666666666664,68.46666666666667,,,,
2019-08-02 00:00:00-04:00,SELL_QQQ_STOP,7.366157531738281,179.79959106445312,13008,62.0,59.166666666666664,60.86666666666666,-7343.212600708008,-0.021364571231903294,-0.07118124011157885,7.0
2019-09-05 00:00:00-04:00,BUY,7.707490921020508,184.05105590820312,12480,74.0,59.166666666666664,68.06666666666666,,,,
2019-09-27 00:00:00-04:00,SELL_QQQ_STOP,7.16445779800415,179.85447692871094,12480,34.0,59.166666666666664,44.06666666666666,-6777.053375244141,-0.022801167636795648,-0.07045524004904793,2.0
2019-09-30 00:00:00-04:00,BUY,7.355414390563965,181.566162109375,12202,66.0,59.166666666666664,63.266666666666666,,,,
2019-10-02 00:00:00-04:00,SELL_QQQ_STOP,6.809995174407959,176.9888153076172,12202,26.0,64.16666666666667,41.26666666666667,-6655.2052755355835,-0.025210351689872866,-0.07415207182014211,2.0
2019-10-11 00:00:00-04:00,BUY,7.57143497467041,183.7779083251953,11019,62.0,59.166666666666664,60.86666666666666,,,,
2019-10-28 00:00:00-04:00,SELL_PROFIT,8.341230392456055,189.9901123046875,11019,78.0,54.166666666666664,68.46666666666667,8482.375708580017,0.03380277877850085,0.10167100693077726,4.0
2019-10-29 00:00:00-04:00,BUY,8.149080276489258,188.51878356933594,11226,78.0,54.166666666666664,68.46666666666667,,,,
2019-11-15 00:00:00-05:00,SELL_PROFIT,8.976160049438477,195.12525939941406,11226,74.0,54.166666666666664,66.06666666666666,9284.79753112793,0.03504412507334213,0.10149363423691007,6.0
2019-11-18 00:00:00-05:00,BUY,9.022705078125,195.27911376953125,11117,78.0,54.166666666666664,68.46666666666667,,,,
2019-12-19 00:00:00-05:00,SELL_PROFIT,10.040742874145508,202.77020263671875,11117,74.0,59.166666666666664,68.06666666666666,11317.526178359985,0.03836093232186877,0.11283066300024353,1.0
2019-12-20 00:00:00-05:00,BUY,10.1600923538208,203.58763122558594,10931,74.0,54.166666666666664,66.06666666666666,,,,
2020-01-09 00:00:00-05:00,SELL_PROFIT,11.262166023254395,211.04490661621094,10931,78.0,54.166666666666664,68.46666666666667,12046.767280578613,0.0366293145891655,0.10847083186395921,5.0
2020-01-10 00:00:00-05:00,BUY,11.170232772827148,210.50518798828125,10967,78.0,54.166666666666664,68.46666666666667,,,,
2020-02-04 00:00:00-05:00,SELL_PROFIT,12.49189281463623,219.2172393798828,10967,78.0,59.166666666666664,70.46666666666667,14494.645678520203,0.041386397527107786,0.11831982991654115,2.0
2020-02-05 00:00:00-05:00,BUY,12.636357307434082,219.9400177001953,10784,78.0,59.166666666666664,70.46666666666667,,,,
2020-02-19 00:00:00-05:00,SELL_PROFIT,14.095316886901855,228.38217163085938,10784,78.0,54.166666666666664,68.46666666666667,15733.420104980469,0.03838389220360859,0.11545729073436808,2.0
2020-02-20 00:00:00-05:00,BUY,13.694162368774414,226.2620391845703,11042,74.0,54.166666666666664,66.06666666666666,,,,
