date,action,symbol,price,shares,commission,slippage,abs_score,ref_score,final_score,gross_pnl,net_pnl,qqq_change,etf_change,holding_days,stop_reason
2019-03-15 00:00:00-04:00,BUY_LONG,TQQQ,6.599987983703613,14393,94.9936270494461,94.9936270494461,74.0,57.0,67.2,,,,,,
2019-04-17 00:00:00-04:00,SELL_LONG_PROFIT,TQQQ,7.609626293182373,14393,109.5253512377739,109.5253512377739,74.0,51.0,64.8,14531.72418832779,14312.673485852241,0.051250893399384094,0.15297577995167752,2.0,多單止盈: 15.3%
2019-04-18 00:00:00-04:00,BUY_LONG,TQQQ,7.633496284484863,14226,108.59411814308167,108.59411814308167,74.0,51.0,64.8,,,,,,
2019-05-09 00:00:00-04:00,SELL_LONG_TRAILING,TQQQ,7.276646614074707,14226,103.51757473182678,103.51757473182678,62.0,57.0,60.0,-5076.543411254883,-5283.578560718536,-0.013981455396206571,-0.04674786717790848,7.0,多單回落: -3.3%
2019-05-17 00:00:00-04:00,BUY_SHORT,SQQQ,18906.30078125,5,94.53150390625,94.53150390625,26.0,57.0,38.4,,,,,,
2019-06-05 00:00:00-04:00,SELL_SHORT_TRAILING,SQQQ,20985.603515625,5,104.92801757812501,104.92801757812501,26.0,57.0,38.4,-10396.513671875,-10606.36970703125,-0.03731440994052691,-0.10997935336124097,5.0,空單反彈: +3.6%
2019-06-06 00:00:00-04:00,BUY_SHORT,SQQQ,20496.642578125,4,81.9865703125,81.9865703125,26.0,57.0,38.4,,,,,,
2019-06-10 00:00:00-04:00,SELL_SHORT_STOP,SQQQ,18654.4140625,4,74.61765625,74.61765625,38.0,57.0,45.6,7368.9140625,7219.67875,0.03119223879622175,0.08987952581029611,2.0,空單止損: +3.1%
2019-06-17 00:00:00-04:00,BUY_LONG,TQQQ,7.0033392906188965,14330,100.3578520345688,100.3578520345688,74.0,57.0,67.2,,,,,,
2019-07-10 00:00:00-04:00,SELL_LONG_PROFIT,TQQQ,8.060762405395508,14330,115.51072526931763,115.51072526931763,78.0,57.0,69.6,15152.87323474884,14921.851784210205,0.05031965686341679,0.15098841722448736,2.0,多單止盈: 15.1%
2019-07-11 00:00:00-04:00,BUY_LONG,TQQQ,8.039278030395508,14247,114.5355940990448,114.5355940990448,78.0,57.0,69.6,,,,,,
2019-07-31 00:00:00-04:00,SELL_LONG_REEVAL,TQQQ,7.829226016998291,14247,111.54298306417465,111.54298306417465,62.0,57.0,60.0,-2992.6110348701477,-3215.697000998497,-0.006859649976644783,-0.026128218554332408,7.0,多單重估賣出
2019-08-06 00:00:00-04:00,BUY_SHORT,SQQQ,18309.322265625,6,109.85593359375,109.85593359375,26.0,57.0,38.4,,,,,,
2019-08-19 00:00:00-04:00,SELL_SHORT_TRAILING,SQQQ,16677.845703125,6,100.06707421875001,100.06707421875001,26.0,57.0,38.4,9788.859375,9588.7252265625,0.02821135153636029,0.08910633276486865,2.0,空單反彈: +3.2%
2019-08-20 00:00:00-04:00,BUY_SHORT,SQQQ,17011.1015625,7,119.0777109375,119.0777109375,26.0,57.0,38.4,,,,,,
2019-08-29 00:00:00-04:00,SELL_SHORT_TRAILING,SQQQ,16643.025390625,7,116.501177734375,116.501177734375,38.0,57.0,45.6,2576.533203125,2343.53084765625,0.005081020809820325,0.021637409577660912,7.0,空單反彈: +3.2%
2019-09-05 00:00:00-04:00,BUY_LONG,TQQQ,7.707491397857666,15934,122.81116793346405,122.81116793346405,74.0,57.0,67.2,,,,,,
2019-09-27 00:00:00-04:00,SELL_LONG_TRAILING,TQQQ,7.16445779800415,15934,114.15847055339813,114.15847055339813,34.0,57.0,43.2,-8652.697380065918,-8881.014321172714,-0.02280116574646051,-0.07045529755692681,2.0,多單回落: -3.0%
2019-09-30 00:00:00-04:00,BUY_LONG,TQQQ,7.355414867401123,15550,114.37670118808747,114.37670118808747,66.0,57.0,62.400000000000006,,,,,,
2019-10-09 00:00:00-04:00,SELL_LONG_REEVAL,TQQQ,7.141783714294434,15550,111.05473675727845,111.05473675727845,26.0,57.0,38.4,-3321.964430809021,-3544.073904323578,-0.008368348521848923,-0.029044065760789835,7.0,多單重估賣出
2019-10-14 00:00:00-04:00,BUY_LONG,TQQQ,7.579787731170654,14645,111.00599132299423,111.00599132299423,70.0,57.0,64.8,,,,,,
2019-11-08 00:00:00-05:00,SELL_LONG_PROFIT,TQQQ,8.791170120239258,14645,128.74668641090392,128.74668641090392,78.0,51.0,67.2,17740.6950879097,17483.20171508789,0.05306393997215434,0.15981745558480337,5.0,多單止盈: 16.0%
2019-11-11 00:00:00-05:00,BUY_LONG,TQQQ,8.75417423248291,14578,127.61835196113587,127.61835196113587,74.0,51.0,64.8,,,,,,
2019-12-20 00:00:00-05:00,SELL_LONG_PROFIT,TQQQ,10.1600923538208,14578,148.11382633399964,148.11382633399964,74.0,51.0,64.8,20495.47437286377,20199.24672019577,0.053492994303281936,0.1605997417918807,7.0,多單止盈: 16.1%
2019-12-23 00:00:00-05:00,BUY_LONG,TQQQ,10.235280990600586,14343,146.8046352481842,146.8046352481842,74.0,51.0,64.8,,,,,,
2020-01-17 00:00:00-05:00,SELL_LONG_PROFIT,TQQQ,11.927172660827637,14343,171.07143747425079,171.07143747425079,78.0,51.0,67.2,24266.80222606659,23924.659351118087,0.05462446066397759,0.16529997288601786,3.0,多單止盈: 16.5%
2020-01-21 00:00:00-05:00,BUY_LONG,TQQQ,11.92120361328125,14221,169.53143658447266,169.53143658447266,78.0,51.0,67.2,,,,,,
2020-02-19 00:00:00-05:00,SELL_LONG_PROFIT,TQQQ,14.095314979553223,14221,200.44947432422637,200.44947432422637,78.0,51.0,67.2,30918.037739753723,30517.13879110527,0.06135817920075496,0.18237347811506424,6.0,多單止盈: 18.2%
