date,action,symbol,price,shares,commission,slippage,absolute_score,reference_score,adx,vix,gross_pnl,net_pnl,qqq_change,etf_change,holding_days,stop_reason
2019-10-28 00:00:00-04:00,BUY_LONG,TQQQ,8.341228485107422,11389,94.99825121688843,94.99825121688843,62.5,70.0,14.30768440959464,13.109999656677246,,,,,,
2019-11-26 00:00:00-05:00,SELL_LONG_REEVAL,TQQQ,9.217247009277344,11389,104.97522618865968,104.97522618865968,42.0,55.0,28.127889562439105,11.539999961853027,9976.97497177124,9767.02451939392,0.03563280758455775,0.10502272246036432,7.0,多單重估賣出
2020-01-02 00:00:00-05:00,BUY_LONG,TQQQ,10.845488548278809,9614,104.26852690315246,104.26852690315246,70.0,85.0,34.46294728958155,12.470000267028809,,,,,,
2020-01-13 00:00:00-05:00,SELL_LONG_REEVAL,TQQQ,11.560643196105957,9614,111.14402368736268,111.14402368736268,59.0,50.0,38.40800680990837,12.319999694824219,6875.496784210205,6653.20873683548,0.02215971422244916,0.0659402888716013,7.0,多單重估賣出
2020-01-14 00:00:00-05:00,BUY_LONG,TQQQ,11.425729751586914,9679,110.58963826560975,110.58963826560975,70.0,70.0,39.518398358597835,12.390000343322754,,,,,,
2020-02-04 00:00:00-05:00,SELL_LONG_REEVAL,TQQQ,12.491893768310547,9679,120.90903978347778,120.90903978347778,52.5,40.0,37.130125880329174,16.049999237060547,10319.401517868042,10077.583438301086,0.03357885345620634,0.09331255332514353,7.0,多單重估賣出
2020-02-05 00:00:00-05:00,BUY_LONG,TQQQ,12.636356353759766,9510,120.17174892425537,120.17174892425537,65.0,80.0,37.471948153196706,15.149999618530273,,,,,,
2020-08-03 00:00:00-04:00,SELL_LONG_PROFIT,TQQQ,14.784204483032227,9510,140.59778463363648,140.59778463363648,39.5,40.0,24.631169418569726,24.280000686645508,20426.035709381104,20144.84014011383,0.18492500583981297,0.16997369092344405,6.0,多單止盈: 17.0%
2020-08-24 00:00:00-04:00,BUY_LONG,TQQQ,17.18515968322754,8106,139.30290439224243,139.30290439224243,65.0,75.0,31.22049794371259,22.3700008392334,,,,,,
2020-11-10 00:00:00-05:00,SELL_LONG_TRAILING,TQQQ,16.056913375854492,8106,130.1573398246765,130.1573398246765,45.0,90.0,16.288002419663897,24.799999237060547,-9145.564567565918,-9405.87924721527,-0.0007402554259354761,-0.06565236100041587,7.0,多單回落: -3.8%
2020-12-21 00:00:00-05:00,BUY_LONG,TQQQ,20.735851287841797,6287,130.36629704666137,130.36629704666137,62.5,90.0,16.905477284530924,25.15999984741211,,,,,,
2020-12-31 00:00:00-05:00,SELL_LONG_REEVAL,TQQQ,21.705305099487305,6287,136.4612531604767,136.4612531604767,41.5,55.0,18.3385220812012,22.75,6094.956113815308,5822.033607494354,0.015602735386463238,0.046752544575487706,7.0,多單重估賣出
2021-02-10 00:00:00-05:00,BUY_LONG,TQQQ,25.442251205444336,5341,135.8870636882782,135.8870636882782,65.0,75.0,13.766570786979043,21.989999771118164,,,,,,
2021-02-22 00:00:00-05:00,SELL_LONG_STOP,TQQQ,23.090240478515625,5341,123.32497439575195,123.32497439575195,35.0,75.0,12.338848938097353,23.450000762939453,-12562.089292526245,-12808.73924131775,-0.030984062132964816,-0.09244507130821068,7.0,多單止損: -3.1%
2021-04-14 00:00:00-04:00,BUY_LONG,TQQQ,25.46135139465332,4859,123.71670642662049,123.71670642662049,65.0,70.0,22.92397420360582,16.989999771118164,,,,,,
2021-05-04 00:00:00-04:00,SELL_LONG_TRAILING,TQQQ,23.954639434814453,4859,116.39559301376343,116.39559301376343,35.0,55.0,18.589801874714986,19.479999542236328,-7321.113412857056,-7553.904598884583,-0.018929789639930097,-0.0591764331941652,7.0,多單回落: -3.5%
2021-06-16 00:00:00-04:00,BUY_LONG,TQQQ,26.032041549682617,4477,116.54545001792908,116.54545001792908,65.0,90.0,14.093143129930645,18.149999618530273,,,,,,
2021-07-02 00:00:00-04:00,SELL_LONG_PROFIT,TQQQ,30.258487701416016,4477,135.4672494392395,135.4672494392395,60.0,70.0,24.338408395960982,15.069999694824219,18921.799421310425,18650.864922431945,0.052919393341481775,0.16235553956331664,5.0,多單止盈: 16.2%
2021-07-07 00:00:00-04:00,BUY_LONG,TQQQ,30.86022186279297,4351,134.2728253250122,134.2728253250122,65.0,70.0,27.813795976391077,16.200000762939453,,,,,,
