date,qqq_price,tqqq_price,sqqq_price,vix,absolute_score,reference_score,adx,signal,capital,position,position_value,portfolio_value,holding_days,cooldown_days,cummax,drawdown
2019-10-17 00:00:00-04:00,186.12432861328125,7.862642288208008,15005.763671875,13.789999961853027,42.0,75.0,14.707271036478096,HOLD_CASH,100000.0,0,0.0,100000.0,0,0,100000.0,0.0
2019-10-18 00:00:00-04:00,184.33567810058594,7.637077331542969,15430.9306640625,14.25,42.0,75.0,13.928190392040221,HOLD_CASH,100000.0,0,0.0,100000.0,0,0,100000.0,0.0
2019-10-21 00:00:00-04:00,185.97048950195312,7.83877420425415,15030.7763671875,14.0,49.0,75.0,13.204690897075505,HOLD_CASH,100000.0,0,0.0,100000.0,0,0,100000.0,0.0
2019-10-22 00:00:00-04:00,184.48956298828125,7.657365798950195,15385.9111328125,14.460000038146973,51.5,75.0,12.866862943540115,HOLD_CASH,100000.0,0,0.0,100000.0,0,0,100000.0,0.0
2019-10-23 00:00:00-04:00,184.84535217285156,7.693170070648193,15305.8798828125,14.010000228881836,48.5,75.0,12.275107654278042,HOLD_CASH,100000.0,0,0.0,100000.0,0,0,100000.0,0.0
2019-10-24 00:00:00-04:00,186.64358520507812,7.913960933685303,14865.7099609375,13.710000038146973,54.0,75.0,12.443630414350604,HOLD_CASH,100000.0,0,0.0,100000.0,0,0,100000.0,0.0
2019-10-25 00:00:00-04:00,188.13409423828125,8.0941801071167,14530.580078125,12.649999618530273,49.5,75.0,13.098539954512503,HOLD_CASH,100000.0,0,0.0,100000.0,0,0,100000.0,0.0
2019-10-28 00:00:00-04:00,189.99014282226562,8.341228485107422,14080.4072265625,13.109999656677246,62.5,70.0,14.30768440959464,BUY_LONG,100000.0,11389,94998.25121688843,194998.25121688843,0,0,194998.25121688843,0.0
2019-10-29 00:00:00-04:00,188.518798828125,8.149078369140625,14410.5361328125,13.199999809265137,49.5,70.0,15.161125867068648,HOLD_LONG,100000.0,11389,92809.85354614258,192809.85354614258,1,0,194998.25121688843,-0.011222652803751487
2019-10-30 00:00:00-04:00,189.43235778808594,8.263651847839355,14210.4560546875,12.329999923706055,70.0,70.0,15.593029804637709,HOLD_LONG,100000.0,11389,94114.73089504242,194114.73089504242,2,0,194998.25121688843,-0.0045309140791386145
