date,action,symbol,price,shares,commission,slippage,abs_score,ref_score,final_score,vix,gross_pnl,net_pnl,qqq_change,etf_change,holding_days,stop_reason
2019-03-15 00:00:00-04:00,BUY_LONG,TQQQ,6.599987030029297,14393,94.99361332321168,94.99361332321168,74.0,57.0,67.2,12.880000114440918,,,,,,
2019-04-17 00:00:00-04:00,SELL_LONG_PROFIT,TQQQ,7.609626293182373,14393,109.5253512377739,109.5253512377739,74.0,51.0,64.8,12.600000381469727,14531.737914562225,14312.687212086677,0.05125163239860332,0.15297594655251837,2.0,多單止盈: 15.3%
2019-04-18 00:00:00-04:00,BUY_LONG,TQQQ,7.633495330810547,14226,108.59410457611084,108.59410457611084,74.0,51.0,64.8,12.09000015258789,,,,,,
2019-05-09 00:00:00-04:00,SELL_LONG_TRAILING,TQQQ,7.276646137237549,14226,103.51756794834137,103.51756794834137,62.0,57.0,60.0,19.100000381469727,-5076.53662776947,-5283.571763666153,-0.01398136917229655,-0.04674781055182839,7.0,多單回落: -3.3%
2019-05-17 00:00:00-04:00,BUY_SHORT,SQQQ,18906.30078125,5,94.53150390625,94.53150390625,26.0,57.0,38.4,15.960000038146973,,,,,,
2019-06-04 00:00:00-04:00,SELL_SHORT_TRAILING,SQQQ,21474.556640625,5,107.372783203125,107.372783203125,26.0,57.0,38.4,16.969999313354492,-12841.279296875,-13056.02486328125,-0.04441653045319909,-0.13584126736849675,2.0,空單反彈: +2.8% (VIX=17.0)
2019-06-05 00:00:00-04:00,BUY_SHORT,SQQQ,20985.6015625,4,83.94240625,83.94240625,26.0,57.0,38.4,16.09000015258789,,,,,,
2019-06-07 00:00:00-04:00,SELL_SHORT_STOP,SQQQ,19331.05078125,4,77.324203125,77.324203125,34.0,57.0,43.2,16.299999237060547,6618.203125,6463.55471875,0.0274104878629519,0.0788421897900979,2.0,空單止損: +2.7%
2019-06-17 00:00:00-04:00,BUY_LONG,TQQQ,7.003339767456055,13895,97.31140606880189,97.31140606880189,74.0,57.0,67.2,15.350000381469727,,,,,,
2019-07-10 00:00:00-04:00,SELL_LONG_PROFIT,TQQQ,8.060761451721191,13895,112.00428037166596,112.00428037166596,78.0,57.0,69.6,13.029999732971191,14692.874302864075,14468.865742120743,0.05031983031188984,0.1509882026827955,2.0,多單止盈: 15.1%
2019-07-11 00:00:00-04:00,BUY_LONG,TQQQ,8.039277076721191,13814,111.05457353782654,111.05457353782654,78.0,57.0,69.6,12.930000305175781,,,,,,
2019-07-31 00:00:00-04:00,SELL_LONG_REEVAL,TQQQ,7.829226970672607,13814,108.1529413728714,108.1529413728714,62.0,57.0,60.0,16.1200008392334,-2901.632164955139,-3117.9380477008817,-0.006859978227144182,-0.02612798440009144,7.0,多單重估賣出
2019-08-06 00:00:00-04:00,BUY_SHORT,SQQQ,18309.318359375,5,91.546591796875,91.546591796875,26.0,57.0,38.4,20.170000076293945,,,,,,
2019-08-08 00:00:00-04:00,SELL_SHORT_STOP,SQQQ,16861.88671875,5,84.30943359375,84.30943359375,54.0,57.0,55.2,16.90999984741211,7237.158203125,7068.5393359375,0.027283795424804677,0.07905437068791069,2.0,空單止損: +2.7%
2019-08-09 00:00:00-04:00,BUY_SHORT,SQQQ,17339.38671875,6,104.0363203125,104.0363203125,26.0,57.0,38.4,17.969999313354492,,,,,,
2019-08-13 00:00:00-04:00,SELL_SHORT_TRAILING,SQQQ,16752.45703125,6,100.5147421875,100.5147421875,54.0,57.0,55.2,17.520000457763672,3521.578125,3320.548640625,0.01018819862161772,0.03384950673401394,2.0,空單反彈: +2.2% (VIX=17.5)
2019-08-14 00:00:00-04:00,BUY_SHORT,SQQQ,18269.525390625,6,109.61715234375,109.61715234375,26.0,57.0,38.4,22.100000381469727,,,,,,
2019-08-19 00:00:00-04:00,SELL_SHORT_STOP,SQQQ,16677.845703125,6,100.06707421875001,100.06707421875001,26.0,57.0,38.4,16.8799991607666,9550.078125,9349.9439765625,0.031024052729867132,0.08712211474944882,3.0,空單止損: +3.1%
2019-08-20 00:00:00-04:00,BUY_SHORT,SQQQ,17011.1015625,7,119.0777109375,119.0777109375,26.0,57.0,38.4,17.5,,,,,,
2019-08-29 00:00:00-04:00,SELL_SHORT_TRAILING,SQQQ,16643.02734375,7,116.50119140625,116.50119140625,38.0,57.0,45.6,17.8799991607666,2576.51953125,2343.5171484375,0.00508110584782551,0.021637294762932847,1.0,空單反彈: +3.2% (VIX=17.9)
2019-09-05 00:00:00-04:00,BUY_LONG,TQQQ,7.707492351531982,16746,129.0696669187546,129.0696669187546,74.0,57.0,67.2,16.270000457763672,,,,,,
2019-09-27 00:00:00-04:00,SELL_LONG_TRAILING,TQQQ,7.164458274841309,16746,119.97601827049256,119.97601827049256,34.0,57.0,43.2,17.219999313354492,-9093.648648262024,-9333.600684803008,-0.02280116574646051,-0.07045535070595788,2.0,多單回落: -3.0%
2019-09-30 00:00:00-04:00,BUY_LONG,TQQQ,7.355414867401123,16343,120.20954517793656,120.20954517793656,66.0,57.0,62.400000000000006,16.239999771118164,,,,,,
