date,action,symbol,price,shares,commission,slippage,abs_score,ref_score,final_score,gross_pnl,net_pnl,qqq_change,etf_change,holding_days,stop_reason
2019-03-15 00:00:00-04:00,BUY_LONG,TQQQ,6.599987983703613,14393,94.9936270494461,94.9936270494461,74.0,57.0,67.2,,,,,,
2019-04-17 00:00:00-04:00,SELL_LONG_PROFIT,TQQQ,7.609625339508057,14393,109.52533751153946,109.52533751153946,74.0,51.0,64.8,14531.710462093353,14312.659787070274,0.05125070979651664,0.1529756354553059,2.0,多單止盈: 15.3%
2019-04-18 00:00:00-04:00,BUY_LONG,TQQQ,7.633495807647705,14226,108.59411135959625,108.59411135959625,74.0,51.0,64.8,,,,,,
2019-05-09 00:00:00-04:00,SELL_LONG_TRAILING,TQQQ,7.276645660400391,14226,103.51756116485596,103.51756116485596,62.0,57.0,60.0,-5076.550194740295,-5283.5853170700075,-0.013981540431210806,-0.04674793256450079,7.0,多單回落: -3.3%
2019-05-17 00:00:00-04:00,BUY_SHORT,SQQQ,18906.298828125,5,94.531494140625,94.531494140625,26.0,57.0,38.4,,,,,,
2019-06-04 00:00:00-04:00,SELL_SHORT_TRAILING,SQQQ,21474.5546875,5,107.3727734375,107.3727734375,26.0,57.0,38.4,-12841.279296875,-13056.02484375,-0.04441652271975822,-0.13584128140164928,2.0,空單反彈: +2.8% (敏捷)
2019-06-05 00:00:00-04:00,BUY_SHORT,SQQQ,20985.599609375,4,83.9423984375,83.9423984375,26.0,57.0,38.4,,,,,,
2019-06-07 00:00:00-04:00,SELL_SHORT_STOP,SQQQ,19331.052734375,4,77.3242109375,77.3242109375,34.0,57.0,43.2,6618.1875,6463.539078125,0.02741021161483855,0.07884201098837587,2.0,"空單止損: +2.7% (敏捷,VIX=16.3)"
2019-06-17 00:00:00-04:00,BUY_LONG,TQQQ,7.00333833694458,13895,97.31138619184495,97.31138619184495,74.0,57.0,67.2,,,,,,
2019-07-10 00:00:00-04:00,SELL_LONG_PROFIT,TQQQ,8.060761451721191,13895,112.00428037166596,112.00428037166596,78.0,57.0,69.6,14692.894179821014,14468.885619077682,0.05031983903978909,0.15098843778522122,2.0,多單止盈: 15.1%
2019-07-11 00:00:00-04:00,BUY_LONG,TQQQ,8.03927993774414,13814,111.05461305999756,111.05461305999756,78.0,57.0,69.6,,,,,,
2019-07-31 00:00:00-04:00,SELL_LONG_REEVAL,TQQQ,7.829226970672607,13814,108.1529413728714,108.1529413728714,62.0,57.0,60.0,-2901.6716871261597,-3117.9775698719022,-0.006859731472474107,-0.02612833098214951,7.0,多單重估賣出
2019-08-06 00:00:00-04:00,BUY_SHORT,SQQQ,18309.318359375,5,91.546591796875,91.546591796875,26.0,57.0,38.4,,,,,,
2019-08-08 00:00:00-04:00,SELL_SHORT_STOP,SQQQ,16861.884765625,5,84.309423828125,84.309423828125,54.0,57.0,55.2,7237.16796875,7068.54912109375,0.027283626639940096,0.07905447736173446,2.0,"空單止損: +2.7% (敏捷,VIX=16.9)"
2019-08-09 00:00:00-04:00,BUY_SHORT,SQQQ,17339.388671875,6,104.03633203125,104.03633203125,26.0,57.0,38.4,,,,,,
2019-08-13 00:00:00-04:00,SELL_SHORT_TRAILING,SQQQ,16752.455078125,6,100.51473046875,100.51473046875,54.0,57.0,55.2,3521.6015625,3320.5721015625,0.010188368266773568,0.03384972820304926,2.0,空單反彈: +2.2% (敏捷)
2019-08-14 00:00:00-04:00,BUY_SHORT,SQQQ,18269.52734375,6,109.6171640625,109.6171640625,26.0,57.0,38.4,,,,,,
2019-08-19 00:00:00-04:00,SELL_SHORT_STOP,SQQQ,16677.845703125,6,100.06707421875001,100.06707421875001,26.0,57.0,38.4,9550.08984375,9349.9556953125,0.03102431911861682,0.08712221234171741,3.0,"空單止損: +3.1% (敏捷,VIX=16.9)"
2019-08-20 00:00:00-04:00,BUY_SHORT,SQQQ,17011.103515625,7,119.077724609375,119.077724609375,26.0,57.0,38.4,,,,,,
2019-08-29 00:00:00-04:00,SELL_SHORT_TRAILING,SQQQ,16643.02734375,7,116.50119140625,116.50119140625,38.0,57.0,45.6,2576.533203125,2343.5308203125,0.005081191317925069,0.0216374070933679,1.0,空單反彈: +3.2% (敏捷)
2019-09-05 00:00:00-04:00,BUY_LONG,TQQQ,7.707492351531982,16746,129.0696669187546,129.0696669187546,74.0,57.0,67.2,,,,,,
2019-09-27 00:00:00-04:00,SELL_LONG_TRAILING,TQQQ,7.164458751678467,16746,119.97602625560761,119.97602625560761,34.0,57.0,43.2,-9093.640663146973,-9333.592715658187,-0.022801410681320543,-0.07045528883925255,2.0,多單回落: -3.0%
2019-09-30 00:00:00-04:00,BUY_LONG,TQQQ,7.3554158210754395,16343,120.20956076383591,120.20956076383591,66.0,57.0,62.400000000000006,,,,,,
2019-10-09 00:00:00-04:00,SELL_LONG_REEVAL,TQQQ,7.141783237457275,16343,116.71816344976425,116.71816344976425,26.0,57.0,38.4,-3491.3973140716553,-3724.8336409711837,-0.008368266591837597,-0.029044256479156975,7.0,多單重估賣出
2019-10-14 00:00:00-04:00,BUY_LONG,TQQQ,7.579788684844971,15392,116.6681074371338,116.6681074371338,70.0,57.0,64.8,,,,,,
2019-11-08 00:00:00-05:00,SELL_LONG_PROFIT,TQQQ,8.791172981262207,15392,135.31373452758788,135.31373452758788,78.0,51.0,67.2,18645.6270904541,18374.999621398925,0.05306411926520792,0.15981768711300331,5.0,多單止盈: 16.0%
2019-11-11 00:00:00-05:00,BUY_LONG,TQQQ,8.754173278808594,15321,134.12268880462648,134.12268880462648,74.0,51.0,64.8,,,,,,
2019-12-20 00:00:00-05:00,SELL_LONG_PROFIT,TQQQ,10.1600923538208,15321,155.6627749528885,155.6627749528885,74.0,51.0,64.8,21540.086148262024,21228.760598356246,0.05349332280970464,0.16059986822691116,7.0,多單止盈: 16.1%
2019-12-23 00:00:00-05:00,BUY_LONG,TQQQ,10.23528003692627,15074,154.2866112766266,154.2866112766266,74.0,51.0,64.8,,,,,,
2020-01-17 00:00:00-05:00,SELL_LONG_PROFIT,TQQQ,11.92717456817627,15074,179.7902294406891,179.7902294406891,78.0,51.0,67.2,25503.6181640625,25144.037705181123,0.05462430299332569,0.16530026781349194,3.0,多單止盈: 16.5%
2020-01-21 00:00:00-05:00,BUY_LONG,TQQQ,11.92120361328125,14946,178.17430920410158,178.17430920410158,78.0,51.0,67.2,,,,,,
2020-02-19 00:00:00-05:00,SELL_LONG_PROFIT,TQQQ,14.095315933227539,14946,210.6685919380188,210.6685919380188,78.0,51.0,67.2,32494.282733917236,32072.9455500412,0.06135796646471635,0.18237355811322106,6.0,多單止盈: 18.2%
2020-02-20 00:00:00-05:00,BUY_LONG,TQQQ,13.694161415100098,15236,208.64424332046508,208.64424332046508,74.0,51.0,64.8,,,,,,
2020-02-24 00:00:00-05:00,SELL_LONG_STOP,TQQQ,11.42334270477295,15236,174.04604944992064,174.04604944992064,66.0,57.0,62.400000000000006,-34598.19387054443,-34946.285969444274,-0.0570322617366552,-0.16582386036600913,2.0,多單止損: -5.7% (VIX=25.0)
2020-03-11 00:00:00-04:00,BUY_SHORT,SQQQ,12705.19921875,13,165.16758984375,165.16758984375,26.0,57.0,38.4,,,,,,
2020-03-18 00:00:00-04:00,SELL_SHORT_TRAILING,SQQQ,13539.4794921875,13,176.0132333984375,176.0132333984375,26.0,57.0,38.4,-10845.6435546875,-11197.670021484375,-0.09537952226822832,-0.06566447790966481,2.0,空單反彈: +4.3% (敏捷)
2020-03-19 00:00:00-04:00,BUY_SHORT,SQQQ,13368.603515625,12,160.4232421875,160.4232421875,26.0,57.0,38.4,,,,,,
2020-03-24 00:00:00-04:00,SELL_SHORT_STOP,SQQQ,11478.90625,12,137.74687500000002,137.74687500000002,26.0,57.0,38.4,22676.3671875,22400.8734375,0.035975461076239064,0.1413533779662441,3.0,"空單止損: +3.6% (敏捷,VIX=61.7)"
2020-03-25 00:00:00-04:00,BUY_SHORT,SQQQ,11672.9521484375,15,175.0942822265625,175.0942822265625,26.0,57.0,38.4,,,,,,
2020-03-26 00:00:00-04:00,SELL_SHORT_STOP,SQQQ,9813.1396484375,15,147.1970947265625,147.1970947265625,34.0,57.0,43.2,27897.1875,27602.793310546876,0.05266028883294379,0.15932666187181688,1.0,"空單止損: +5.3% (敏捷,VIX=61.0)"
2020-03-27 00:00:00-04:00,BUY_SHORT,SQQQ,10760.6865234375,19,204.45304394531252,204.45304394531252,26.0,57.0,38.4,,,,,,
2020-03-30 00:00:00-04:00,SELL_SHORT_STOP,SQQQ,9596.4150390625,19,182.3318857421875,182.3318857421875,34.0,57.0,43.2,22121.158203125,21756.494431640625,0.036373610791723486,0.10819676624155329,1.0,"空單止損: +3.6% (敏捷,VIX=57.1)"
2020-04-01 00:00:00-04:00,BUY_SHORT,SQQQ,11063.0947265625,21,232.32498925781252,232.32498925781252,26.0,57.0,38.4,,,,,,
2020-04-02 00:00:00-04:00,SELL_SHORT_STOP,SQQQ,10407.876953125,21,218.565416015625,218.565416015625,34.0,57.0,43.2,13759.5732421875,13322.44241015625,0.020295037780369393,0.05922554128225275,1.0,"空單止損: +2.0% (敏捷,VIX=50.9)"
2020-04-03 00:00:00-04:00,BUY_SHORT,SQQQ,10816.1298828125,22,237.954857421875,237.954857421875,26.0,57.0,38.4,,,,,,
