date,action,symbol,price,shares,position_size,commission,slippage,abs_score,ref_score,final_score,vix,gross_pnl,net_pnl,qqq_change,etf_change,holding_days,stop_reason
2019-03-15 00:00:00-04:00,BUY_LONG,TQQQ,6.599986553192139,14393,0.95,94.99360646009445,94.99360646009445,74.0,57.0,67.2,12.880000114440918,,,,,,
2019-03-27 00:00:00-04:00,SELL_LONG_TRAILING,TQQQ,6.571299076080322,14393,,94.58070760202408,94.58070760202408,74.0,57.0,67.2,15.149999618530273,-412.89885807037354,-602.0602732744217,-0.0007077379015709955,-0.004346596296918434,1.0,多單回落: -2.6%
2019-03-28 00:00:00-04:00,BUY_LONG,TQQQ,6.613070964813232,14279,0.95,94.42804030656815,94.42804030656815,74.0,57.0,67.2,14.430000305175781,,,,,,
2019-04-17 00:00:00-04:00,SELL_LONG_PROFIT,TQQQ,7.609626770019531,14279,,108.65786064910888,108.65786064910888,74.0,51.0,64.8,12.600000381469727,14229.820342540741,14012.504621242524,0.04957660547294039,0.15069486030147927,7.0,多單止盈: 15.1%
2019-04-18 00:00:00-04:00,BUY_LONG,TQQQ,7.633495807647705,14114,0.95,107.73915982913971,107.73915982913971,74.0,51.0,64.8,12.09000015258789,,,,,,
2019-05-07 00:00:00-04:00,SELL_LONG_TRAILING,TQQQ,7.45924711227417,14114,,105.27981374263764,105.27981374263764,66.0,57.0,62.400000000000006,19.31999969482422,-2459.346086502075,-2669.9057139873503,-0.006136975733732975,-0.022826854139221784,5.0,多單回落: -2.5%
2019-05-08 00:00:00-04:00,BUY_LONG,TQQQ,7.393606185913086,14228,0.95,105.19622881317139,105.19622881317139,66.0,57.0,62.400000000000006,19.399999618530273,,,,,,
2019-05-13 00:00:00-04:00,SELL_LONG_STOP,TQQQ,6.542654991149902,14228,,93.08889521408081,93.08889521408081,34.0,63.0,45.6,20.549999237060547,-12107.333599090576,-12293.511389518737,-0.03870349099376327,-0.11509284824832659,3.0,多單止損: -3.9%
2019-05-17 00:00:00-04:00,BUY_SHORT,SQQQ,18906.30078125,4,0.95,75.625203125,75.625203125,26.0,57.0,38.4,15.960000038146973,,,,,,
2019-06-04 00:00:00-04:00,SELL_SHORT_TRAILING,SQQQ,21474.560546875,4,,85.8982421875,85.8982421875,26.0,57.0,38.4,16.969999313354492,-10273.0390625,-10444.835546875,-0.044416609775644794,-0.13584147397951205,2.0,空單反彈: +2.8%
2019-06-05 00:00:00-04:00,BUY_SHORT,SQQQ,20985.599609375,3,0.95,62.956798828125,62.956798828125,26.0,57.0,38.4,16.09000015258789,,,,,,
2019-06-07 00:00:00-04:00,SELL_SHORT_STOP,SQQQ,19331.0546875,3,,57.9931640625,57.9931640625,34.0,57.0,43.2,16.299999237060547,4963.634765625,4847.6484375,0.027409842457950414,0.07884191791860248,2.0,空單止損: +2.7%
2019-06-17 00:00:00-04:00,BUY_LONG,TQQQ,7.003338813781738,12595,0.95,88.207052359581,88.207052359581,74.0,57.0,67.2,15.350000381469727,,,,,,
2019-07-10 00:00:00-04:00,SELL_LONG_PROFIT,TQQQ,8.060760498046875,12595,,101.5252784729004,101.5252784729004,78.0,57.0,69.6,13.029999732971191,13318.226113319397,13115.175556373597,0.05031937923506822,0.15098822324349873,2.0,多單止盈: 15.1%
2019-07-11 00:00:00-04:00,BUY_LONG,TQQQ,8.039280891418457,12521,0.95,100.6598360414505,100.6598360414505,78.0,57.0,69.6,12.930000305175781,,,,,,
2019-07-31 00:00:00-04:00,SELL_LONG_REEVAL,TQQQ,7.829226493835449,12521,,98.02974492931367,98.02974492931367,62.0,57.0,60.0,16.1200008392334,-2630.091112136841,-2826.150601995468,-0.006859731472474107,-0.026128505822856706,7.0,多單重估賣出
