dir,pnl
short,0.04997267125398296
short,-0.06384732051586421
short,-0.057178968569071065
short,0.013064981376476267
long,-0.031179590156456966
long,0.051008842044417954
long,0.08135500716299798
long,0.0622164578188251
short,-0.03525919510781372
short,-0.03308672488713829
short,0.008799794895404873
short,0.011117570750805562
short,-0.03140982411814766
long,-0.07875624378804956
long,0.054791771880856106
long,0.058467448237714825
long,0.07508540923850816
short,-0.005633808335279874
short,-0.03943370439452028
short,-0.05129248109101668
short,0.06527959236604093
short,0.0023919837622611534
short,-0.030291430116670362
short,-0.03358887676951383
long,0.08280499625119425
long,0.06509919670232674
short,0.12005576928025048
long,-0.032523708101102305
long,-0.08290535371654027
long,-0.11274294546354209
long,0.04703098006754231
long,-0.05040420728446754
long,0.06250002703686636
long,-0.1831013738853069
long,-0.05696972243793927
long,0.05288273725555647
long,-0.07573421000131758
short,0.007819811792920378
