time_key,close_QQQ,close_TQQQ,theoretical_TQQQ,spread,spread_ratio,signal,next_day_spread
2026-02-03 00:00:00,615.743793921,52.433766991,52.433766991,0.0,0.0,HOLD,-0.11117717875219328
2026-02-04 00:00:00,604.987353481,49.678298657,49.73359106043314,-0.05529240343314257,-0.11117717875219328,HOLD,-0.11504430063596731
2026-02-05 00:00:00,596.278332065,47.561779502,47.616559640024775,-0.05478013802477477,-0.11504430063596731,HOLD,-0.3815599337105955
2026-02-06 00:00:00,608.882443334,50.506935874,50.7003882417663,-0.19345236776629804,-0.3815599337105955,HOLD,-0.4229508226087333
2026-02-09 00:00:00,613.546563748,51.65504768,51.87445109764124,-0.21940341764123872,-0.4229508226087333,HOLD,-0.42924904053654644
2026-02-10 00:00:00,610.700151932,50.936229853,51.15581570107551,-0.21958584807551063,-0.42924904053654644,HOLD,-0.49046156039194067
2026-02-11 00:00:00,612.338087152,51.315605928,51.568529743651894,-0.25292381565189714,-0.49046156039194067,HOLD,-0.6286118765589023
2026-02-12 00:00:00,599.883787032,48.180761519,48.48554742855047,-0.3047859095504677,-0.6286118765589023,HOLD,-0.8315580751543643
2026-02-13 00:00:00,601.162175496,48.390416719,48.79618533855,-0.40576861955000254,-0.8315580751543643,HOLD,-0.7707614646989644
2026-02-17 00:00:00,600.542956084,48.270613748,48.64555493976467,-0.37494119176466967,-0.7707614646989644,HOLD,-0.8735580273455973
2026-02-18 00:00:00,605.02730312,49.308906163,49.74344401123834,-0.4345378482383353,-0.8735580273455973,HOLD,-0.8628428933697416
2026-02-19 00:00:00,602.710224028,48.749825632,49.17412104077738,-0.4242954087773825,-0.8628428933697416,HOLD,-1.0166141958117367
2026-02-20 00:00:00,608.043500904,49.977806085,50.49110583453622,-0.5132997495362233,-1.0166141958117367,BUY_TQQQ,-1.0508299973337156
2026-02-23 00:00:00,600.652817593,48.160794358,48.672257035306366,-0.5114626773063691,-1.0508299973337156,BUY_TQQQ,-1.1129199707349298
2026-02-24 00:00:00,607.104684375,49.698265819,50.2575926038994,-0.5593267848993975,-1.1129199707349298,BUY_TQQQ,-1.314476653750062
2026-02-25 00:00:00,615.903592479,51.784834232,52.474600606115985,-0.6897663741159832,-1.314476653750062,BUY_TQQQ,-1.2457840623627388
2026-02-26 00:00:00,608.472959529,49.967822504,50.59816639681935,-0.6303438928193543,-1.2457840623627388,BUY_TQQQ,-1.3472858081836157
2026-02-27 00:00:00,606.525414602,49.438692715,50.11386977034751,-0.6751770553475112,-1.3472858081836157,BUY_TQQQ,-1.378955931848259
2026-03-02 00:00:00,607.324407392,49.618397172,50.312179962028566,-0.693782790028564,-1.378955931848259,BUY_TQQQ,-1.4216147246712916
2026-03-03 00:00:00,600.822603561,48.021024225,48.713543127002566,-0.6925189020025684,-1.4216147246712916,BUY_TQQQ,-1.5651578686583605
2026-03-04 00:00:00,609.981058421,50.177477703,50.975321965822,-0.7978442628219966,-1.5651578686583605,BUY_TQQQ,-1.5792171278364457
2026-03-05 00:00:00,608.143375003,49.718232981,50.51599014974088,-0.7977571687408798,-1.5792171278364457,BUY_TQQQ,-1.6747183140259148
