Date,Close,High,Low,Open,Volume,Returns,Log_Returns,MA_50,MA_200,Vol_20,Regime,Cumulative,Peak,Drawdown,Month,Year,DayOfWeek,Quarter,Overnight_Return,Intraday_Return
2010-02-11,0.20605523884296417,0.20717184413963236,0.19320274289925832,0.1938239309929344,6912000,,,,,,Unknown,1.0,1.0,0.0,2,2010,3,1,,0.06310525118013244
2010-02-12,0.2068985104560852,0.20868490091083466,0.19928229070961545,0.20044844396795475,17203200,0.004092454129563272,0.004084102816319296,,,,Unknown,1.0040924541295633,1.0040924541295633,0.0,2,2010,4,1,-0.027210154454177182,0.03217818188282684
2010-02-16,0.21491295099258423,0.21540931955624648,0.20843716057813663,0.2117622322623552,19238400,0.03873609587054094,0.03800468165441249,,,,Unknown,1.0429870756956128,1.0429870756956128,0.0,2,2010,1,1,0.023507766177477185,0.014878567800161724
2010-02-17,0.21856003999710083,0.21860957321277677,0.21451563661064857,0.21779117488922975,38361600,0.016970075501138382,0.01682769234752048,,,,Unknown,1.0606866451168788,1.0606866451168788,0.0,2,2010,2,1,0.01339251023892385,0.0035302858725203556
2010-02-18,0.2227035015821457,0.2240182825893598,0.2170213505619065,0.21833708276583244,77721600,0.01895800158665706,0.018780538068992284,,,,Unknown,1.0807951442179506,1.0807951442179506,0.0,2,2010,3,1,-0.0010201189168492775,0.01999852137346836
2010-02-19,0.2227035015821457,0.22560651135577864,0.21950323573758035,0.22118959393194287,92966400,0.0,0.0,,,,Unknown,1.0807951442179506,1.0807951442179506,0.0,2,2010,4,1,-0.006797861908086844,0.006844389120171046
2010-02-22,0.2211400419473648,0.2253330589360837,0.21863433431482218,0.2253330589360837,50995200,-0.007020363953299524,-0.0070451226530866395,,,,Unknown,1.0732075689465819,1.0807951442179506,-0.007020363953299443,2,2010,0,1,0.011807436054022125,-0.018608086219200848
2010-02-23,0.21250632405281067,0.22111529398252502,0.20957854029350317,0.2199243671913674,82252800,-0.0390418569994172,-0.03982442663098973,,,,Unknown,1.0313075525090774,1.0807951442179506,-0.04578813290716796,2,2010,1,1,-0.0054973072506098175,-0.03372997377822129
2010-02-24,0.21893258392810822,0.22143829204537208,0.2150863696699217,0.21625252284313906,70617600,0.03024032298304946,0.029792098310414173,,,,Unknown,1.06249462599181,1.0807951442179506,-0.01693245785202215,2,2010,2,1,0.017628646145125604,0.012393201474524052
2010-02-25,0.21880775690078735,0.22029689095667487,0.20769306508469365,0.21193562988744316,91238400,-0.0005701619424628435,-0.0005703245465932221,,,,Unknown,1.0618888319919981,1.0807951442179506,-0.017492965551425453,2,2010,3,1,-0.031959400081637335,0.032425538910063834
2010-02-26,0.22153738141059875,0.22245582585820725,0.21600480880340048,0.21816276212881341,57600000,0.01247498968260552,0.01239781814542496,,,,Unknown,1.0751358842151724,1.0807951442179506,-0.0052362004335921065,2,2010,4,1,-0.0029477692249566534,0.015468356051491439
2010-03-01,0.23104001581668854,0.23198321969104033,0.2243412764743678,0.2243412764743678,28454400,0.04289404499404803,0.04199958408370717,,,,Unknown,1.1212528112074136,1.1212528112074136,0.0,3,2010,0,1,0.012656532481858163,0.029859593595947587
