code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
US.TQQQ,ProShares UltraPro QQQ ETF,2026-02-03 00:00:00,55.548644238,52.433766991,55.664952956,50.996131339,0.0,0.24218,129992150,6865444123.0,-4.682395645463586,55.009530869
US.TQQQ,ProShares UltraPro QQQ ETF,2026-02-04 00:00:00,52.054390916,49.678298657,52.064374497,48.350482395,0.0,0.26511,142536211,7154143387.0,-5.255140898942017,52.433766991
US.TQQQ,ProShares UltraPro QQQ ETF,2026-02-05 00:00:00,48.310548071,47.561779502,49.448376789,46.982731809,0.0,0.29181,158712865,7633274340.0,-4.260450160770084,49.678298657
US.TQQQ,ProShares UltraPro QQQ ETF,2026-02-06 00:00:00,48.260630167,50.506935874,50.921254482,47.916196625,0.0,0.21349,117934624,5835689025.0,6.192275400200605,47.561779502
US.TQQQ,ProShares UltraPro QQQ ETF,2026-02-09 00:00:00,49.977806085,51.65504768,52.184177468,49.358824068,0.0,0.12902,71272728,3650240226.0,2.2731765175068337,50.506935874
US.TQQQ,ProShares UltraPro QQQ ETF,2026-02-10 00:00:00,51.884670041,50.936229853,52.31396402,50.806443301,0.0,0.12819,70660921,3654777669.0,-1.3915732523431914,51.65504768
US.TQQQ,ProShares UltraPro QQQ ETF,2026-02-11 00:00:00,52.124275983,51.315605928,52.41379983,49.959436296,0.0,0.1672,92393807,4739951933.0,0.7448059585384723,50.936229853
US.TQQQ,ProShares UltraPro QQQ ETF,2026-02-12 00:00:00,51.714949165,48.180761519,51.984306178,47.911204835,0.0,0.23695,131150002,6491016812.0,-6.108949416671489,51.315605928
US.TQQQ,ProShares UltraPro QQQ ETF,2026-02-13 00:00:00,48.070942129,48.390416719,49.511073677,47.10253478,0.0,0.22281,123216560,5984856293.0,0.4351429769687702,48.180761519
US.TQQQ,ProShares UltraPro QQQ ETF,2026-02-17 00:00:00,47.561779502,48.270613748,48.899579346,46.34378263,0.0,0.21174,117089669,5593058909.0,-0.24757582001346803,48.390416719
US.TQQQ,ProShares UltraPro QQQ ETF,2026-02-18 00:00:00,48.450318204,49.308906163,50.27761302,48.120860034,0.0,0.14575,81370841,4021952803.0,2.1509824184554116,48.270613748
US.TQQQ,ProShares UltraPro QQQ ETF,2026-02-19 00:00:00,48.590088337,48.749825632,49.318889744,48.08092571,0.0,0.14955,83447513,4067707498.0,-1.133832758633621,49.308906163
US.TQQQ,ProShares UltraPro QQQ ETF,2026-02-20 00:00:00,47.881254092,49.977806085,50.367065905,47.681582473,0.0,0.213,118813778,5886824353.0,2.5189432722687295,48.749825632
US.TQQQ,ProShares UltraPro QQQ ETF,2026-02-23 00:00:00,49.448676296,48.160794358,49.798101628,47.581746664,0.0,0.16485,91951796,4458390681.0,-3.6356372344750567,49.977806085
US.TQQQ,ProShares UltraPro QQQ ETF,2026-02-24 00:00:00,48.370449557,49.698265819,49.957739087,47.741483959,0.0,0.12776,71023309,3499819261.0,3.1923714745469374,48.160794358
