code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
US.QQQ,Invesco QQQ Trust,2026-02-03 00:00:00,627.50896276,615.743793921,629.18684762,610.190794028,0.0,0.12252,81233969,50161340413.0,-1.5363976108291177,625.351682226
US.QQQ,Invesco QQQ Trust,2026-02-04 00:00:00,614.245682439,604.987353481,614.325581718,599.714001064,0.0,0.12402,81850748,49725053225.0,-1.7469019657516935,615.743793921
US.QQQ,Invesco QQQ Trust,2026-02-05 00:00:00,599.454328407,596.278332065,604.048536952,594.011190022,0.0,0.13576,89354492,53518841217.0,-1.4395377632093846,604.987353481
US.QQQ,Invesco QQQ Trust,2026-02-06 00:00:00,599.434353587,608.882443334,610.640227473,598.016141384,0.0,0.11833,78019338,47248376588.0,2.113796626711235,596.278332065
US.QQQ,Invesco QQQ Trust,2026-02-09 00:00:00,606.775099849,613.546563748,615.683869462,604.308209609,0.0,0.08614,56797557,34816599823.0,0.7660132863186526,608.882443334
US.QQQ,Invesco QQQ Trust,2026-02-10 00:00:00,614.530323621,610.700151932,616.243164415,610.240731077,0.0,0.08191,53938859,33124877546.0,-0.4639275947716166,613.546563748
US.QQQ,Invesco QQQ Trust,2026-02-11 00:00:00,615.603970183,612.338087152,616.742534909,606.924910997,0.0,0.08944,58575101,35883822265.0,0.26820612616816536,610.700151932
US.QQQ,Invesco QQQ Trust,2026-02-12 00:00:00,613.936072733,599.883787032,615.03468782,598.815034301,0.0,0.12494,81378903,49287149134.0,-2.0338927761173955,612.338087152
US.QQQ,Invesco QQQ Trust,2026-02-13 00:00:00,599.674051424,601.162175496,605.716434402,595.669100062,0.0,0.10598,69237547,41706735344.0,0.2131060201385058,599.883787032
US.QQQ,Invesco QQQ Trust,2026-02-17 00:00:00,597.621638694,600.542956084,603.189619702,592.592977819,0.0,0.10564,69013763,41368610975.0,-0.10300372133178676,601.162175496
US.QQQ,Invesco QQQ Trust,2026-02-18 00:00:00,601.351936284,605.02730312,609.003290993,599.963686311,0.0,0.09822,64250668,38943909818.0,0.7467154498391602,600.542956084
US.QQQ,Invesco QQQ Trust,2026-02-19 00:00:00,602.051054976,602.710224028,605.052271645,599.993648541,0.0,0.09331,60960839,36777062658.0,-0.3829709965238577,605.02730312
